Street Name,From Street Name,To Street Name,PCI,Surface Distress Index,Roughness Index,Condition Rating
JACKSON ST,JOHN WESLEY DOBBS AVE,CAIN ST,43.0,51.465,49.82209206,Marginal
BOULEVARD,DECATUR ST,TODD ST,67.0,47.69,40.59243529,Marginal
UPPERGATE DR NE,CLIFTON RD NE,RIDGEWOOD DR NE,19.0,7.155,48.69693961,Very Poor
WHITEHALL ST SW,SPRING ST SW,COOPER ST SW,23.0,68.77,44.3711775,Fair
BELGRADE AVE,BELGRADE AVE,WOODALL AVE,17.0,63.13,33.6410775,Marginal
ARKWRIGHT PL,BATTLEFIELD AVE,VANNOY ST,23.0,71.5,66.25343923,Good
KIRKWOOD AVE,FLAT SHOALS AVE,STOVALL ST,46.0,21.9,39.87732585,Very Poor
LENOX RD,EAST PACES FERRY RD,LENOX PKWY,19.0,50.1,60.84948107,Marginal
SHIRLEY PL NW,VERBENA ST NW,DEAD END,22.0,13.095,57.4280697,Very Poor
OAKDALE RD,FAIRVIEW RD,PONCE DE LEON AVE,17.0,39.2,47.49416996,Poor
DIXIE HILLS CIR,JOSEPH E BOONE BLVD,PINEDALE DR,9.0,43.77,51.912053,Marginal
BLUFF ST,MURPHY AVE,TIFT ST,65.0,81.4,62.631,Very Good
MIDVALE DR,ROSWELL RD,RICKENBACKER WAY,41.0,78.4,67.20219045,Good
MICHIGAN AVE,LENA ST,OLLIE ST,23.0,15.695,48.22625059,Very Poor
ELM ST,LESTER ST,FOUNDRY ST,63.0,58.31,37.74852336,Marginal
PINE ST NW,MARIETTA RD NW,HILL ST,11.0,79.1,84.74912893,Very Good
MARY GEORGE AVE NW,MARY GEORGE AVE NW,PERRY BLVD NW,22.0,47.535,80.4369555,Fair
ELOISE ST,BERNE ST,NORTH END,9.0,52.675,60.64660166,Fair
DURANT PL,7TH ST,8TH ST,66.0,88.3,69.23775,Very Good
CAMP GROUND RD,AUSTIN RD,FAIRBURN RD,24.0,57.735,74.77179983,Fair
HOSEA L WILLIAMS DR,NORWOOD AVE,DOUGLAS ST,50.0,77.4,57.711,Good
GILLETTE AVE,MURPHY AVE,LOWNDES ST,45.0,54.8,76.48985637,Fair
MARTIN ST,LITTLE ST,BILL LUCAS DR,64.0,56.825,58.66474364,Fair
LAKE FORREST DR,CARLTON DR,LAKE FORREST LN,62.0,86.2,83.2868251,Excellent
ANTWERP DR,HILLSDALE DR,BROMACK DR,39.0,43.425,74.65766238,Marginal
MACARTHUR BLVD,WEST END,GENERAL TRUMAN ST,13.0,29.22,40.42993039,Poor
FAIRBURN RD,BOLTON RD,BOLTON PL,23.0,46.08,54.45542757,Marginal
CHAPEL ST,HAYNES ST NW,HAYNES ST NW,21.0,47.875,44.66236277,Marginal
RICHMOND AVE,LIVERMORE ST,LAKEWOOD AVE,62.0,67.8,72.52883677,Good
JONES AVE,VINE ST,WALNUT ST,44.0,44.82,36.08601799,Poor
