,latitude,longitude
581,33.674548,-84.505585
582,33.733632,-84.493808
583,33.785134,-84.461421
584,33.85275,-84.386382
585,33.852904,-84.384996
586,33.852272,-84.386578
587,33.851902,-84.386212
588,33.725383,-84.402393
589,33.72461,-84.402402
590,33.728553,-84.402416
591,33.723326,-84.402414
592,33.734401,-84.405306
593,33.732489,-84.40555
594,33.730203,-84.400018
595,33.700602,-84.351145
596,33.753744,-84.374409
597,33.757159,-84.381696
598,33.693147,-84.36689
599,33.748726,-84.468896
600,33.795255,-84.404405
601,33.722368,-84.494794
602,33.722278,-84.494385
603,33.722187,-84.495465
604,33.722324,-84.493075
605,33.721672,-84.495811
606,33.722318,-84.492205
607,33.722311,-84.491258
608,33.813295,-84.415353
609,33.750177,-84.3596
610,33.760556,-84.321712
611,33.760053,-84.321602
612,33.860513,-84.385913
613,33.675554,-84.532499
614,33.861953,-84.375545
615,33.706267,-84.480241
616,33.764801,-84.484677
617,33.7649,-84.484281
618,33.764849,-84.484992
619,33.764565,-84.48502
620,33.765254,-84.485022
621,33.747612,-84.465615
622,33.74755,-84.463103
623,33.74752,-84.459296
624,33.750818,-84.423205
625,33.755189,-84.511424
626,33.689378,-84.355009
627,33.690177,-84.355036
628,33.698987,-84.504686
629,33.69883,-84.501806
630,33.698914,-84.501347
631,33.849868,-84.348631
632,33.814524,-84.351872
633,33.749751,-84.342791
634,33.746067,-84.465255
635,33.746062,-84.464501
636,33.746087,-84.465597
637,33.749683,-84.515374
638,33.751796,-84.515355
639,33.707364,-84.412073
640,33.720839,-84.438726
641,33.799157,-84.401062
642,33.799714,-84.3995
643,33.760284,-84.471061
644,33.78033,-84.424031
645,33.78334,-84.353014
646,33.742206,-84.418922
647,33.813704,-84.444513
648,33.814998,-84.474352
649,33.81675,-84.475486
650,33.724925,-84.49317
651,33.718918,-84.405656
652,33.760872,-84.404699
653,33.78223,-84.450648
654,33.773935,-84.501876
655,33.773765,-84.501094
656,33.76735,-84.328731
657,33.767352,-84.329155
658,33.760383,-84.313897
659,33.842626,-84.366241
660,33.816249,-84.456159
661,33.755309,-84.33864
662,33.708818,-84.359463
663,33.710469,-84.361615
664,33.709724,-84.360816
665,33.758573,-84.366674
666,33.779989,-84.487076
667,33.673332,-84.502518
668,33.801232,-84.354919
669,33.697133,-84.40799
670,33.712936,-84.471317
671,33.727823,-84.483129
672,33.845996,-84.410447
673,33.823238,-84.401383
674,33.82262,-84.401389
675,33.82425,-84.447412
676,33.840943,-84.414592
677,33.72932,-84.46523
678,33.698309,-84.493927
679,33.870127,-84.425356
680,33.878388,-84.384119
681,33.839914,-84.453236
682,33.70625,-84.363705
683,33.706448,-84.362961
684,33.706701,-84.36229
685,33.706848,-84.361695
686,33.70693,-84.361423
687,33.707028,-84.361028
688,33.707138,-84.360471
689,33.707143,-84.359826
690,33.707333,-84.359197
691,33.707639,-84.358691
692,33.709223,-84.361534
693,33.708683,-84.36227
694,33.708123,-84.36301
695,33.707616,-84.363735
696,33.707165,-84.364295
697,33.706607,-84.364239
698,33.717688,-84.533273
699,33.718758,-84.533689
700,33.715618,-84.534622
701,33.721276,-84.533952
702,33.714765,-84.530646
703,33.714183,-84.526311
704,33.711409,-84.530711
705,33.759147,-84.436053
706,33.759161,-84.435412
707,33.769884,-84.414554
708,33.79825,-84.399565
709,33.799426,-84.398655
710,33.798412,-84.398555
711,33.779647,-84.462318
712,33.793492,-84.357647
713,33.72441,-84.483372
714,33.820051,-84.421537
715,33.819422,-84.421062
716,33.818584,-84.419313
717,33.818102,-84.417414
718,33.860006,-84.403559
719,33.668515,-84.384604
720,33.66852,-84.385835
721,33.740749,-84.421923
722,33.74078,-84.422928
723,33.740148,-84.430664
724,33.74061,-84.374909
725,33.719529,-84.42727
726,33.735818,-84.424144
727,33.685723,-84.391947
728,33.682759,-84.39416
729,33.82871,-84.423408
730,33.711154,-84.538169
731,33.71106,-84.537368
732,33.711214,-84.539017
733,33.847068,-84.423692
734,33.692968,-84.506663
735,33.744243,-84.369347
736,33.80059,-84.341969
737,33.747299,-84.343246
738,33.824253,-84.417827
739,33.877501,-84.35775
740,33.771355,-84.41425
741,33.696793,-84.413796
742,33.735735,-84.480814
743,33.747734,-84.475998
744,33.734647,-84.480883
745,33.728254,-84.475414
746,33.739194,-84.478951
747,33.741051,-84.479224
748,33.749254,-84.469383
749,33.749469,-84.469159
750,33.728551,-84.475556
751,33.728932,-84.475789
752,33.729285,-84.476018
753,33.729844,-84.476414
754,33.730128,-84.476984
755,33.730231,-84.477269
756,33.730505,-84.477949
757,33.730757,-84.478216
758,33.731119,-84.478597
759,33.738712,-84.480137
760,33.739872,-84.478925
761,33.740427,-84.478951
762,33.740779,-84.479111
763,33.742248000000004,-84.479275
764,33.742703,-84.47919
765,33.743288,-84.479137
766,33.744425,-84.478874
767,33.744954,-84.4788
768,33.745425,-84.478628
769,33.745743,-84.478506
770,33.746073,-84.47832
771,33.746361,-84.478111
772,33.746679,-84.477831
773,33.746976,-84.477551
774,33.747446,-84.476918
775,33.747699,-84.476411
776,33.747788,-84.475362
777,33.747949,-84.474759
778,33.738114,-84.480714
779,33.737465,-84.480524
780,33.727996,-84.475332
781,33.731545,-84.478879
782,33.737213,-84.48076
783,33.736844,-84.480798
784,33.73628,-84.480807
785,33.735217,-84.480884
786,33.734807,-84.480867
787,33.734115,-84.480842
788,33.733553,-84.48062
789,33.731822,-84.479049
790,33.732421,-84.479438
791,33.732813,-84.47979
792,33.733275,-84.480264
793,33.749053,-84.470631
794,33.749114,-84.470045
795,33.749758,-84.468412
796,33.750477,-84.468124
797,33.750914,-84.468141
798,33.751192,-84.468134
799,33.75151,-84.468051
800,33.751721,-84.468101
801,33.749087,-84.471275
802,33.748988,-84.471982
803,33.74884,-84.472667
804,33.748707,-84.472934
805,33.748635,-84.473335
806,33.748461,-84.473708
807,33.748185,-84.474176
808,33.741701,-84.479319
809,33.738479,-84.480588
810,33.738871,-84.47963
811,33.838172,-84.38418
812,33.703835,-84.40042
813,33.868798,-84.377028
814,33.868478,-84.377945
815,33.843788,-84.422586
816,33.848886,-84.42225
817,33.742808,-84.518392
818,33.693665,-84.393493
819,33.697417,-84.390034
820,33.695488,-84.394722
821,33.775582,-84.466661
822,33.694206,-84.399132
823,33.6905,-84.399138
824,33.691397,-84.399159
825,33.692718,-84.399172
826,33.689091,-84.398786
827,33.695355,-84.36116
828,33.814422,-84.416586
829,33.86583,-84.428382
830,33.86328,-84.429072
831,33.851469,-84.423316
832,33.688857,-84.359645
833,33.700707,-84.424507
834,33.839947,-84.411916
835,33.825377,-84.450435
836,33.823262,-84.446361
837,33.801844,-84.381605
838,33.834157,-84.413128
839,33.737519,-84.456142
840,33.77984,-84.352801
841,33.658212,-84.380425
842,33.785479,-84.453463
843,33.725479,-84.482053
844,33.705895,-84.474599
845,33.692182,-84.539442
846,33.692732,-84.536708
847,33.868041,-84.437718
848,33.871223,-84.437995
849,33.872246,-84.439225
850,33.755534,-84.465142
851,33.7221,-84.499467
852,33.73434,-84.408159
853,33.764541,-84.451929
854,33.727667,-84.40316
855,33.791725,-84.462742
856,33.875466,-84.369035
857,33.809577,-84.472552
858,33.730188,-84.400814
859,33.72844,-84.400813
860,33.661922,-84.527004
861,33.730099,-84.443466
862,33.750923,-84.428097
863,33.783627,-84.399029
864,33.788965,-84.398664
865,33.814748,-84.447171
866,33.774293,-84.482295
867,33.695573,-84.375524
868,33.752871999999996,-84.431171
869,33.836476,-84.364824
870,33.836458,-84.363672
871,33.708512999999996,-84.451793
872,33.705969,-84.45093
873,33.706457,-84.451578
874,33.706898,-84.451644
875,33.707783,-84.451682
876,33.839871,-84.352111
877,33.840798,-84.353197
878,33.748775,-84.345982
879,33.72111,-84.484607
880,33.730605,-84.485657
881,33.723682,-84.423135
882,33.724168,-84.423688
883,33.766095,-84.321359
884,33.745331,-84.526184
885,33.855113,-84.394678
886,33.777406,-84.493679
887,33.714589,-84.437122
888,33.779769,-84.486599
889,33.755219,-84.465134
890,33.816463,-84.381073
891,33.815933,-84.381206
892,33.814766,-84.383352
893,33.821685,-84.444554
894,33.821698,-84.445811
895,33.823591,-84.446303
896,33.823766,-84.446453
897,33.700173,-84.467127
898,33.69995,-84.466858
899,33.713063,-84.456791
900,33.739473,-84.424769
901,33.739794,-84.425082
902,33.767991,-84.441036
903,33.850569,-84.425159
904,33.828525,-84.401112
905,33.828823,-84.428421
906,33.828757,-84.421023
907,33.830049,-84.431121
908,33.831836,-84.430675
909,33.832339,-84.430289
910,33.765814,-84.453899
911,33.76546,-84.453077
912,33.765158,-84.452568
913,33.793553,-84.37448
914,33.716427,-84.446803
915,33.74748,-84.437242
916,33.747265,-84.423673
917,33.747501,-84.426711
918,33.726431,-84.425729
919,33.749958,-84.342267
920,33.72077,-84.440367
921,33.720948,-84.440004
922,33.803472,-84.352079
923,33.714288,-84.468595
924,33.720408,-84.439811
925,33.713804,-84.446816
926,33.748801,-84.517154
927,33.749876,-84.516491
928,33.864492,-84.356389
929,33.704066,-84.474032
930,33.705449,-84.475749
931,33.753406,-84.5099
932,33.753151,-84.509734
933,33.745464,-84.370244
934,33.745459,-84.36942
935,33.751896,-84.346126
936,33.800659,-84.395756
937,33.800818,-84.395384
938,33.766317,-84.354736
939,33.830319,-84.367766
940,33.766484,-84.369457
941,33.766481,-84.370252
942,33.766469,-84.371038
943,33.781872,-84.361267
944,33.781905,-84.360821
945,33.761219,-84.330244
946,33.761454,-84.33078
947,33.827523,-84.367284
948,33.80777,-84.385374
949,33.807326,-84.385933
950,33.806945,-84.385583
951,33.773763,-84.36093
952,33.771093,-84.361577
953,33.771078,-84.361141
954,33.771234,-84.371011
955,33.7737,-84.370489
956,33.831244,-84.37591
957,33.772348,-84.349029
958,33.776447,-84.34786
959,33.776782,-84.347567
960,33.7762,-84.348011
961,33.778469,-84.345934
962,33.778873,-84.345469
963,33.779213,-84.345136
964,33.772381,-84.348924
965,33.772613,-84.348905
966,33.804157000000004,-84.338004
967,33.79914,-84.362587
968,33.808272,-84.39272
969,33.808324,-84.393376
970,33.808377,-84.393231
971,33.808494,-84.393408
972,33.820745,-84.363546
973,33.820739,-84.364247
974,33.820739,-84.364967
975,33.820573,-84.363206
976,33.820938,-84.371166
977,33.816742,-84.361485
978,33.760389,-84.327897
979,33.810896,-84.358038
980,33.81139,-84.356872
981,33.811033,-84.357793
982,33.810744,-84.358402
983,33.810584,-84.358827
984,33.810434,-84.359208
985,33.810314,-84.359503
986,33.810191,-84.359875
987,33.810035,-84.360236
988,33.809919,-84.360551
989,33.814663,-84.353271
990,33.814475,-84.353409
991,33.814203,-84.353543
992,33.813849,-84.353744
993,33.81357,-84.353899
994,33.813202,-84.354083
995,33.812738,-84.354494
996,33.812507,-84.354641
997,33.812333,-84.354835
998,33.812127,-84.355212
999,33.811632,-84.356146
1000,33.81158,-84.356403
1001,33.811451,-84.356604
1002,33.821972,-84.351735
1003,33.82181,-84.351662
1004,33.821462,-84.351574
1005,33.821163,-84.351497
1006,33.820787,-84.351468
1007,33.822313,-84.351547
1008,33.822857,-84.351515
1009,33.818177,-84.351085
1010,33.819729,-84.351379
1011,33.819434,-84.351406
1012,33.819052,-84.351526
1013,33.818813,-84.351609
1014,33.818566,-84.351741
1015,33.818087,-84.351791
1016,33.817764,-84.351931
1017,33.817386,-84.352081
1018,33.817137,-84.352213
1019,33.816732,-84.352319
1020,33.816469,-84.352394
1021,33.816093,-84.352536
1022,33.815857,-84.35265
1023,33.815611,-84.352738
1024,33.815333,-84.352918
1025,33.809568,-84.361504
1026,33.809417,-84.361897
1027,33.809321,-84.36215
1028,33.809238,-84.362376
1029,33.809155,-84.362615
1030,33.80903,-84.362927
1031,33.808941,-84.3632
1032,33.808752,-84.363611
1033,33.808636,-84.363871
1034,33.80847,-84.364226
1035,33.808347,-84.364477
1036,33.808241,-84.364793
1037,33.808114,-84.365025
1038,33.807981,-84.365385
1039,33.807943,-84.365625
1040,33.809836,-84.360741
1041,33.809701,-84.361095
1042,33.808443,-84.365764
1043,33.771696,-84.332985
1044,33.772144,-84.332466
1045,33.77249,-84.332003
1046,33.762805,-84.332959
1047,33.763391,-84.332985
1048,33.764091,-84.333
1049,33.765449,-84.332979
1050,33.766131,-84.332991
1051,33.766726,-84.332989
1052,33.767075,-84.332957
1053,33.767403,-84.332967
1054,33.768063,-84.332972
1055,33.769345,-84.332992
1056,33.769862,-84.33301
1057,33.770425,-84.333005
1058,33.771095,-84.332992
1059,33.760871,-84.329411
1060,33.761129,-84.329995
1061,33.753776,-84.371113
1062,33.760322,-84.326565
1063,33.760304,-84.32691
1064,33.760297,-84.327231
1065,33.760467,-84.328324
1066,33.760554,-84.328652
