NIBRS Code Name,Longitude,Latitude
Aggravated Assault,-84.413226,33.801795
Motor Vehicle Theft,-84.350727,33.818602
Burglary/Breaking & Entering,-84.434472,33.738254
Destruction/Damage/Vandalism of Property,-84.409149,33.738567
Theft From Motor Vehicle,-84.41324,33.769466
Motor Vehicle Theft,-84.414935,33.677423
Aggravated Assault,-84.385406,33.668286
Destruction/Damage/Vandalism of Property,-84.500667,33.672568
All Other Larceny,-84.384874,33.757454
Drug/Narcotic Violations,-84.372175,33.756901
Simple Assault,-84.489788,33.688046
Shoplifting,-84.433144,33.737504
Simple Assault,-84.41841,33.699815
Theft From Motor Vehicle,-84.365626,33.757566
Theft From Motor Vehicle,-84.346804,33.741301
Destruction/Damage/Vandalism of Property,-84.40851,33.77873
False Pretenses/Swindle/Confidence Game,-84.430256,33.625037
Credit Card/Automated Teller Machine Fraud,-84.397953,33.784651
False Pretenses/Swindle/Confidence Game,-84.412165,33.783011
False Pretenses/Swindle/Confidence Game,-84.381993,33.837398
Destruction/Damage/Vandalism of Property,-84.382811,33.778878
Simple Assault,-84.35786,33.693079
Theft From Motor Vehicle,-84.364723,33.75644
All Other Larceny,-84.501008,33.673044
Motor Vehicle Theft,-84.434715,33.762304
Aggravated Assault,-84.355204,33.694131
Aggravated Assault,-84.395913,33.796996
Destruction/Damage/Vandalism of Property,-84.421823,33.697453
Aggravated Assault,-84.421823,33.697453
Murder & Nonnegligent Manslaughter,-84.426933,33.719631
Murder & Nonnegligent Manslaughter,-84.371229,33.81984
Motor Vehicle Theft,-84.423243,33.812364
Theft From Motor Vehicle,-84.423243,33.812364
Destruction/Damage/Vandalism of Property,-84.423243,33.812364
Credit Card/Automated Teller Machine Fraud,-84.423243,33.812364
Simple Assault,-84.378179,33.836146
Theft of Motor Vehicle Parts or Accessories,-84.390301,33.713509
Shoplifting,-84.362119,33.84676
Purse-snatching,-84.396786,33.748943
Destruction/Damage/Vandalism of Property,-84.318951,33.75144
Impersonation,-84.39251,33.715671
Motor Vehicle Theft,-84.521174,33.696254
Drug/Narcotic Violations,-84.444368,33.640311
Motor Vehicle Theft,-84.402678,33.738014
Impersonation,-84.390322,33.811089
Credit Card/Automated Teller Machine Fraud,-84.365188,33.822761
Drug/Narcotic Violations,-84.3753,33.755613
All Other Larceny,-84.385888,33.750074
Shoplifting,-84.412075,33.7858
Theft From Motor Vehicle,-84.391388,33.811956
Theft From Motor Vehicle,-84.492676,33.748968
Theft From Motor Vehicle,-84.362772,33.85655
Simple Assault,-84.508506,33.775945
Destruction/Damage/Vandalism of Property,-84.451096,33.756141
Destruction/Damage/Vandalism of Property,-84.375714,33.75423
Rape,-84.417026,33.676549
Drug/Narcotic Violations,-84.407721,33.797395
Destruction/Damage/Vandalism of Property,-84.477063,33.75265
Shoplifting,-84.362119,33.84676
Motor Vehicle Theft,-84.522624,33.717412
