NIBRS Code Name,Longitude,Latitude
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
All Other Larceny,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
Theft From Motor Vehicle,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
False Pretenses/Swindle/Confidence Game,-84.466298,33.638308
Impersonation,-84.411117,33.638465
Destruction/Damage/Vandalism of Property,-84.40847,33.638516
Motor Vehicle Theft,-84.445985,33.638857
Motor Vehicle Theft,-84.445985,33.638857
Destruction/Damage/Vandalism of Property,-84.445985,33.638857
Destruction/Damage/Vandalism of Property,-84.445985,33.638857
Theft From Motor Vehicle,-84.445985,33.638857
Destruction/Damage/Vandalism of Property,-84.445985,33.638857
Destruction/Damage/Vandalism of Property,-84.445985,33.638857
Destruction/Damage/Vandalism of Property,-84.445985,33.638857
Motor Vehicle Theft,-84.445985,33.638857
Destruction/Damage/Vandalism of Property,-84.445985,33.638857
Theft From Motor Vehicle,-84.445985,33.638857
Destruction/Damage/Vandalism of Property,-84.445985,33.638857
False Pretenses/Swindle/Confidence Game,-84.44598485,33.63885736
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
